sim_time,n_vehicles,avg_speed_kmh,avg_waiting_s,max_waiting_s,halted
1.0,0,0,0,0,0
61.0,26,7.94,21.38,51.0,19
121.0,61,8.53,37.9,111.0,45
181.0,97,5.39,60.78,171.0,81
241.0,124,3.09,92.04,231.0,111
301.0,151,1.48,124.16,291.0,144
361.0,163,3.38,122.51,300.0,141
421.0,174,4.01,125.21,299.0,152
481.0,173,2.02,115.16,298.0,159
541.0,179,1.42,119.2,298.0,171
601.0,187,1.54,125.82,298.0,175
661.0,204,1.41,129.92,298.0,191
721.0,201,1.5,124.25,299.0,192
781.0,212,4.63,109.8,299.0,184
841.0,217,3.11,116.77,295.0,197
901.0,221,1.84,129.82,300.0,204
961.0,222,4.28,132.18,298.0,194
1021.0,225,2.64,129.11,298.0,206
1081.0,215,3.5,115.94,300.0,189
1141.0,217,4.18,109.62,297.0,191
1201.0,219,2.41,114.89,300.0,196
1261.0,225,2.36,126.72,297.0,209
1321.0,223,2.05,128.8,300.0,206
1381.0,224,2.38,120.32,299.0,203
1441.0,222,1.6,121.66,299.0,209
1501.0,220,1.1,120.71,298.0,210
1561.0,229,3.13,122.17,299.0,207
1621.0,238,2.67,132.05,300.0,219
1681.0,228,2.4,120.92,300.0,209
1741.0,243,4.57,101.11,295.0,205
1801.0,245,3.09,111.71,297.0,222
1861.0,245,2.21,119.21,299.0,229
1921.0,231,2.31,131.89,298.0,215
1981.0,239,3.22,129.27,300.0,212
2041.0,241,2.64,120.1,299.0,218
2101.0,250,1.55,119.16,300.0,235
2161.0,247,4.73,105.31,298.0,214
2221.0,250,2.16,135.87,298.0,235
2281.0,254,2.39,136.2,300.0,228
2341.0,259,3.62,118.65,299.0,229
2401.0,253,3.17,108.48,299.0,224
2461.0,255,2.65,110.64,298.0,234
2521.0,259,2.74,117.45,299.0,228
2581.0,261,2.57,129.05,300.0,243
2641.0,258,3.87,112.86,299.0,228
2701.0,256,2.23,121.42,300.0,237
2761.0,244,2.53,121.3,300.0,221
2821.0,246,3.18,126.57,298.0,223
2881.0,235,3.57,128.51,298.0,209
2941.0,220,2.23,124.0,298.0,203
3001.0,227,4.09,109.87,296.0,201
3061.0,229,3.71,109.55,299.0,203
3121.0,240,3.28,107.47,292.0,211
3181.0,239,3.52,126.17,299.0,211
3241.0,240,2.74,118.48,298.0,218
3301.0,241,3.11,113.1,300.0,219
3361.0,228,4.82,113.41,300.0,194
3421.0,230,3.29,112.12,300.0,204
3481.0,236,4.37,114.47,298.0,202
3541.0,227,4.33,105.35,300.0,193
3601.0,219,3.67,117.58,299.0,198
3661.0,221,3.05,128.01,300.0,196
3721.0,222,2.43,118.37,298.0,207
3781.0,225,3.1,118.91,299.0,202
3841.0,237,1.96,114.57,299.0,220
3901.0,238,1.8,109.28,299.0,221
3961.0,249,1.69,128.22,295.0,231
4021.0,245,2.33,127.28,300.0,229
4081.0,243,2.01,135.12,299.0,228
4141.0,246,2.16,125.2,327.0,223
4201.0,223,2.48,117.62,383.0,206
4261.0,239,3.39,119.91,443.0,216
4321.0,241,4.36,118.6,503.0,205
4381.0,241,2.05,120.43,297.0,221
4441.0,238,3.74,103.72,298.0,213
4501.0,246,3.66,119.56,297.0,217
4561.0,246,3.35,118.38,298.0,224
4621.0,258,2.25,127.67,353.0,237
4681.0,254,2.57,126.32,413.0,232
4741.0,246,2.29,123.9,473.0,227
4801.0,261,2.87,114.57,299.0,235
4861.0,269,2.25,115.03,297.0,243
4921.0,273,2.86,118.53,299.0,250
4981.0,282,2.71,121.34,297.0,256
5041.0,278,2.09,117.95,300.0,252
5101.0,277,3.63,123.57,300.0,246
5161.0,265,3.11,125.12,297.0,234
5221.0,257,3.78,123.95,299.0,223
5281.0,246,4.66,113.33,300.0,212
5341.0,235,2.35,113.87,300.0,210
5401.0,255,3.1,111.12,299.0,229
5461.0,266,3.26,119.25,300.0,238
5521.0,262,2.26,131.37,300.0,243
5581.0,250,2.21,133.94,300.0,231
5641.0,255,2.18,130.5,300.0,235
5701.0,247,5.07,115.13,300.0,208
5761.0,249,5.63,112.28,300.0,210
5821.0,241,5.26,106.15,300.0,204
5881.0,239,4.23,121.02,300.0,208
5941.0,237,3.59,126.11,298.0,212
6001.0,231,1.47,128.2,300.0,219
6061.0,222,3.92,125.4,296.0,193
6121.0,226,3.2,119.82,300.0,201
6181.0,232,2.03,121.66,299.0,210
6241.0,230,2.55,118.93,298.0,211
6301.0,234,2.8,115.63,291.0,211
6361.0,252,2.47,129.21,300.0,230
6421.0,263,2.95,123.48,300.0,236
6481.0,250,2.51,121.77,300.0,228
6541.0,256,4.53,115.95,298.0,216
6601.0,243,3.53,121.68,299.0,217
6661.0,247,3.02,125.13,300.0,217
6721.0,245,2.9,114.25,340.0,217
6781.0,245,2.79,118.51,297.0,222
6841.0,243,2.29,133.45,299.0,226
6901.0,243,2.81,120.31,298.0,222
6961.0,249,3.36,130.38,299.0,223
7021.0,240,3.12,121.87,300.0,214
7081.0,235,4.87,112.95,297.0,203
7141.0,248,2.9,119.27,299.0,228
7201.0,255,2.61,108.26,297.0,233
7261.0,225,2.57,134.56,298.0,210
7321.0,188,4.13,144.45,300.0,164
7381.0,148,2.76,159.74,297.0,136
7441.0,107,7.76,153.05,300.0,84
7501.0,69,11.58,91.58,299.0,44
7561.0,41,10.73,88.46,276.0,26
7621.0,30,6.25,140.57,297.0,25
7681.0,22,8.5,133.68,273.0,17
7741.0,16,4.29,147.38,263.0,13
7801.0,11,13.69,72.82,300.0,7
7861.0,8,24.61,39.5,192.0,2
7921.0,6,24.96,72.67,252.0,2
7981.0,4,6.03,66.5,244.0,3
8041.0,1,11.2,0.0,0.0,0
8101.0,1,0.0,15.0,15.0,1
8161.0,1,42.59,0.0,0.0,0
