sim_time,n_vehicles,avg_speed_kmh,avg_waiting_s,max_waiting_s,halted
1.0,0,0,0,0,0
61.0,26,7.94,21.38,51.0,19
121.0,61,8.53,37.9,111.0,45
181.0,98,4.57,60.19,171.0,80
241.0,125,2.73,91.12,231.0,112
301.0,154,1.94,120.55,291.0,142
361.0,167,3.48,118.29,300.0,139
421.0,176,4.42,123.89,299.0,155
481.0,179,3.35,110.27,300.0,160
541.0,183,1.32,117.92,300.0,171
601.0,189,2.35,125.16,298.0,175
661.0,207,1.37,126.5,298.0,193
721.0,206,0.95,125.61,300.0,194
781.0,215,3.08,111.53,298.0,191
841.0,219,3.24,117.84,294.0,197
901.0,226,1.43,129.76,300.0,205
961.0,225,2.51,132.53,300.0,207
1021.0,227,3.38,125.55,299.0,201
1081.0,213,1.75,115.73,300.0,187
1141.0,220,5.32,108.09,299.0,188
1201.0,221,2.21,113.87,300.0,202
1261.0,224,1.03,126.04,300.0,207
1321.0,224,2.79,125.92,298.0,203
1381.0,228,2.6,117.8,300.0,207
1441.0,228,0.96,119.37,299.0,216
1501.0,227,2.09,121.74,300.0,211
1561.0,231,4.01,121.66,296.0,203
1621.0,241,1.41,133.22,295.0,219
1681.0,227,2.48,122.12,300.0,205
1741.0,242,5.19,102.48,294.0,206
1801.0,250,3.28,110.99,300.0,215
1861.0,250,2.83,116.22,299.0,227
1921.0,232,2.4,132.49,297.0,214
1981.0,243,2.1,126.44,300.0,213
2041.0,242,2.57,119.71,298.0,224
2101.0,252,1.84,117.27,300.0,231
2161.0,251,2.78,107.3,299.0,217
2221.0,254,1.88,134.62,298.0,237
2281.0,262,2.4,132.92,300.0,240
2341.0,266,2.26,110.23,299.0,230
2401.0,260,4.15,103.82,298.0,226
2461.0,258,3.4,109.23,297.0,230
2521.0,266,1.38,113.91,298.0,233
2581.0,269,3.66,126.85,300.0,245
2641.0,260,2.38,110.57,299.0,233
2701.0,257,1.5,119.61,300.0,230
2761.0,250,2.77,121.51,299.0,224
2821.0,250,2.49,124.26,300.0,230
2881.0,240,2.25,128.93,299.0,211
2941.0,224,2.89,119.77,296.0,203
3001.0,228,3.3,106.41,296.0,202
3061.0,227,1.76,111.67,299.0,198
3121.0,242,3.95,107.54,291.0,213
3181.0,245,4.11,117.72,300.0,210
3241.0,242,1.68,113.73,299.0,215
3301.0,243,3.28,110.91,300.0,220
3361.0,232,4.9,111.75,300.0,202
3421.0,234,4.01,107.57,299.0,198
3481.0,241,3.67,112.64,298.0,213
3541.0,230,5.08,100.07,300.0,189
3601.0,227,2.64,109.72,300.0,194
3661.0,225,2.72,123.78,299.0,207
3721.0,225,1.48,115.84,298.0,213
3781.0,231,1.88,122.87,300.0,208
3841.0,239,1.65,115.7,300.0,217
3901.0,241,3.5,103.2,300.0,212
3961.0,248,1.18,122.69,296.0,225
4021.0,245,1.94,121.97,299.0,227
4081.0,244,2.48,135.06,300.0,226
4141.0,247,2.0,126.49,324.0,217
4201.0,221,2.26,119.24,300.0,202
4261.0,234,3.1,124.99,299.0,213
4321.0,238,2.39,118.86,298.0,202
4381.0,240,3.06,120.76,297.0,213
4441.0,241,2.53,101.35,300.0,223
4501.0,248,2.79,114.88,295.0,219
4561.0,249,4.99,111.66,298.0,216
4621.0,260,2.9,118.62,300.0,232
4681.0,258,1.75,120.87,299.0,231
4741.0,247,2.6,116.33,300.0,226
4801.0,260,2.02,116.16,298.0,240
4861.0,262,1.46,118.47,297.0,235
4921.0,267,3.19,118.05,299.0,241
4981.0,277,2.02,123.23,297.0,251
5041.0,272,1.95,115.54,300.0,240
5101.0,271,3.65,116.55,300.0,236
5161.0,263,1.47,126.77,299.0,248
5221.0,259,2.64,119.07,300.0,223
5281.0,252,3.96,115.16,299.0,222
5341.0,247,2.58,115.88,300.0,223
5401.0,259,2.41,112.31,298.0,229
5461.0,267,3.76,116.64,299.0,234
5521.0,260,1.73,125.1,298.0,242
5581.0,250,1.41,134.77,300.0,228
5641.0,257,2.8,131.53,299.0,235
5701.0,247,3.82,115.17,299.0,213
5761.0,249,3.03,108.22,299.0,213
5821.0,243,3.46,109.63,299.0,213
5881.0,245,3.88,124.64,300.0,216
5941.0,241,2.25,128.28,298.0,215
6001.0,231,2.28,126.19,300.0,215
6061.0,229,3.16,117.78,297.0,207
6121.0,233,2.24,117.6,300.0,202
6181.0,242,3.14,120.21,298.0,216
6241.0,235,3.36,115.75,298.0,211
6301.0,238,1.57,116.93,300.0,216
6361.0,252,3.83,121.32,299.0,219
6421.0,263,1.79,122.83,300.0,240
6481.0,252,1.64,122.18,298.0,228
6541.0,253,4.18,118.36,298.0,219
6601.0,241,3.49,121.53,299.0,213
6661.0,249,2.64,115.82,299.0,213
6721.0,251,3.52,108.6,299.0,222
6781.0,253,2.57,116.04,296.0,233
6841.0,245,1.09,132.76,300.0,229
6901.0,246,2.53,119.93,295.0,228
6961.0,251,2.97,128.28,300.0,224
7021.0,244,2.01,114.77,300.0,209
7081.0,236,4.27,108.21,298.0,205
7141.0,248,3.25,116.88,299.0,224
7201.0,258,1.8,106.04,297.0,222
7261.0,230,2.75,132.7,300.0,212
7321.0,185,3.46,142.55,298.0,164
7381.0,153,2.27,151.06,297.0,136
7441.0,112,8.23,144.34,300.0,88
7501.0,73,7.64,102.62,300.0,57
7561.0,51,7.56,90.8,277.0,33
7621.0,37,5.73,129.89,299.0,29
7681.0,27,8.46,131.67,283.0,21
7741.0,18,5.08,143.94,270.0,14
7801.0,11,19.01,47.0,281.0,6
7861.0,8,19.7,41.38,189.0,3
7921.0,7,10.33,68.57,249.0,3
7981.0,4,12.04,71.75,244.0,2
8041.0,3,0.0,52.0,103.0,3
8101.0,3,18.88,54.33,163.0,1
8161.0,2,11.74,111.5,223.0,1
